,cluster_number,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),SizeOption,Ratings,Reviews,DiscountPrice (in Rs),DiscountOffer,cluster
0,0,2296012,648,0,24,0,41046,1499,131,3.9,999,317,32,1
1,1,13780156,428,0,75,0,28448,1149,969,4,999,443,50,1
2,2,11895958,648,6,56,0,41089,1399,810,4.3,999,459,37,1
3,0,4335679,892,3,53,1,58327,1295,975,4.2,999,393,47,1
4,2,11690882,648,7,79,1,43301,599,1066,4.2,999,477,38,1
5,0,2490950,496,7,74,1,32406,599,1066,4.4,999,542,38,1
6,0,6744434,312,0,77,0,18622,1499,230,3.9,998,339,50,1
7,2,8439415,497,7,74,1,32721,1395,969,3.7,998,533,28,1
8,1,17381394,648,7,79,1,42889,1098,1066,4.3,997,440,22,1
9,0,2359257,311,0,24,0,15447,2749,131,3.5,996,497,30,1
10,2,7695793,319,5,73,0,20458,2699,975,4.4,996,458,49,1
11,2,10307375,648,6,79,0,40987,699,1072,4.1,996,522,20,1
12,1,12873874,69,1,27,1,3024,3399,975,4.2,996,394,43,1
13,2,11634538,76,7,26,1,3400,2499,1066,4.3,996,357,41,1
14,0,2312181,648,7,79,1,42474,799,1066,4,996,519,22,1
15,1,13842386,312,6,56,0,18166,1099,830,4.2,995,547,35,1
16,2,10473520,845,1,28,1,55546,1699,975,4.2,995,355,47,1
17,2,10561392,698,4,27,1,44307,3999,1071,4.3,995,337,50,1
18,2,12391750,783,7,77,1,51935,2149,129,4.1,995,477,41,1
19,0,2522986,214,7,79,1,9975,999,1066,4.3,995,527,30,1
20,1,17385142,648,7,79,1,42852,1298,1066,4.4,994,359,27,1
21,2,12153330,67,1,28,1,2613,1599,1070,3.8,993,387,38,1
22,0,1864573,231,3,5,1,11081,849,969,4.2,993,342,48,1
23,1,13205276,896,7,56,1,1186,1499,1066,4.2,993,301,24,1
24,2,11535928,387,7,74,1,26069,1299,1070,4.3,992,508,41,1
25,0,6552977,623,7,74,1,39627,1299,969,4.2,991,529,31,1
26,2,9476129,884,7,77,1,57780,2699,72,4.1,991,414,32,1
27,0,2017530,854,7,57,1,56499,899,72,4,991,524,31,1
28,2,11173948,698,4,28,1,43934,899,1071,4,990,517,48,1
29,2,11118428,648,7,57,1,42012,1199,72,4.3,990,438,20,1
30,1,17383362,648,7,79,1,42231,1598,899,4.2,990,425,48,1
31,2,9971493,845,7,16,1,55766,2349,975,4.4,990,451,29,1
